movie_name,open_date,distributor_boxoffice,boxoffice_years
제15회 미쟝센 단편영화제 김태용 단편 특별전 1,,,2016
[인디포럼2016] 신작01 아무 것도 아닌게 아니야,,,2016
남도의 백합화,,,2016
불의 딸,19831105,,2016|2019
무서운 집,20150730,(주)콘텐츠윙,2016|2025
오하마나,,,2016
우아한 나체들,,,2016
여자전쟁: 도기의 난,,TCO(주)더콘텐츠온,2016
베를린,20130130,(주)씨제이이엔엠,2016|2018|2019|2025
사람은 무엇으로 사는가,,시네마달,2016
즐거운 나의 집 101,,,2016|2017|2018
넛잡: 땅콩 도둑들,20140129,(주)싸이더스,2016|2017
그 날,,,2016|2017
[인디포럼2016] 신작14 어느 날 내게 다가온 너,,,2016
낮은 목소리 - 아시아에서 여성으로 산다는 것,19950429,,2016|2017|2018|2019|2024
인디스데이 11월 단편,,,2016|2025
칠수와 만수,19881126,,2016|2017|2019|2021
제15회 미쟝센 단편영화제 전년도 수상작 4,,,2016
SIFF2016-특별단편 6,,,2016
외곽,,,2016
촌구석,,,2016|2017
오오극장 개관 1주년 영화제-시민제작영상,,,2016
제15회 미쟝센 단편영화제 전년도 수상작 1,,,2016
[인디포럼2016] 신작05 자기만의 방,,,2016
"[인디포럼2016] 기획전04 디지털, 눈을 뜨다",,,2016
[인디포럼2016] 신작15 지켜주지 못해 미안해,,,2016
[인디포럼2016] 신작17 어떤 사랑의 행로,,,2016
"5월 단편 상상극장-어느 날, 학교에서",,,2016
스물,20150325,(주)넥스트엔터테인먼트월드(NEW),2016
남자는 괴로워,19950211,,2016
"좋은 놈, 나쁜 놈, 이상한 놈",20080717,씨제이엔터테인먼트,2016|2019
모멘츠 오브 디토,,,2016
무지개 동거동락,,,2016
충녀,19721006,,2016|2018|2020
낮은 목소리 2,19970822,,2016|2017|2018|2019|2021
마닐라의 레이디보이,,,2016
베트남 잊기,,,2016|2017|2020
해파리의 노래,,,2016
남부군,19900602,,2016|2022|2023
로맨스가 필요해,,,2016
내사랑 한옥마을,,,2016
X10,,,2016
조용한 가족,19980425,,2016|2017|2019|2021|2025
차이나타운,20150429,CGV아트하우스,2016
인디스데이 6월 단편,,,2016|2017
[인디포럼2016] 신작07 다른 나라에서,,,2016
천에 오십 반지하,,,2016|2017
투캅스,19931218,,2016|2021|2023
씨받이,19870321,,2016|2022|2023
어느 여행자의 기억 : 디지털 삼인삼색 2011,,,2016
[인디포럼2016] 신작13 말로는 힘들어,,,2016
[인디포럼2016] 신작11 망각에 대처하는 우리들의 자세,,,2016
고래사냥,19840331,(유)조이앤시네마,2016|2021|2022|2024
[인디포럼2016] 작심사일특별전,,,2016
글로컬 구애전 단편 3,,,2016
29.97-Media art work screening,,,2016
제15회 미쟝센 단편영화제 전년도 수상작 2,,,2016
인디스데이 10월 단편,,,2016|2025
더 배틀 오브 광주,,,2016
"청년, 노동에 관한 몇 가지 단상",,,2016
"9월 수요단편극장 ""여배우의 힘 - 이상희, 김새벽, 천우희""",,,2016
광인,,,2016|2017|2018
"5월 수요단편극장 '군인' 특별전, 보러 오시지 말입니다!",,,2016
반칙왕,20000204,(주)시네마서비스,2016|2017|2025
꿈,19900929,,2016|2022
0.36 프로젝트,,,2016
오오단편극장 #우리는 분위기를 사랑해,,,2016
제17회 대구단편영화제 경쟁1,,,2016
올드 데이즈,,,2016
[인디포럼2016] 신작10 상처와 치유의 연대기,,,2016
모던보이,20081002,씨제이엔터테인먼트,2016|2017
11월 수요단편극장 [반짝반짝 빛나는: 김예은 배우 특별전],,,2016
부당거래,20101028,씨제이엔터테인먼트,2016|2017|2019|2020|2025
축제,19960606,,2016|2018|2019|2023
[인디포럼2016] 신작16 방정소년단,,,2016
제17회 대구단편영화제 경쟁5,,,2016
글로컬 구애전 단편 4,,,2016
SIFF2016-개막식,,,2016
FIWOM2016-정글/이브/몸값/여름밤,,,2016
난잎으로 칼을 얻다,,,2016|2017
[인디포럼2016] 신작02 다짐의 소리,,,2016
킬리만자로,20000520,,2016
오오단편극장-연애의 문을 여네,,,2016|2017
인디스데이 12월 단편,,,2016|2025
마당을 나온 암탉,20110728,"메가박스중앙(주),롯데쇼핑㈜롯데엔터테인먼트",2016|2017|2018|2019|2022|2023|2025
아저씨,20100804,씨제이엔터테인먼트,2016|2018|2021
무뢰한,20150527,CGV아트하우스,2016|2019|2022|2023|2024|2025
제15회 미쟝센 단편영화제 여성 감독 특별전 1,,,2016
옥주기행,,,2016|2017
[인디포럼2016] 기획전02 김지현 특별전 01,,,2016
돌연변이,20151022,필라멘트픽쳐스,2016
무사,20010906,,2016
제15회 미쟝센 단편영화제 전년도 수상작 3,,,2016
아라한 장풍대작전,20040430,(주)시네마서비스,2016
2016 대단한단편영화제-개막식+개막작,,,2016
터널 3D,20140820,(주)박수엔터테인먼트,2016
제3회 사람사는세상영화제 공모부문4,,,2016
청소년 경쟁 1,,,2016
명량,20140730,(주)씨제이이엔엠,2016|2017|2018|2019|2020|2022|2023|2024|2025
리얼 버라이어티 쇼,,,2016
"[인디포럼2016] 기획전01 김곡, 김선 특별전",,,2016
제17회 대구단편영화제 경쟁2,,,2016
[SIAFF2016] 국제단편경쟁 4,,,2016
Media art work screening B,,,2016
"4월 수요단편극장 ""전주국제영화제 수상작 특별전""",,,2016
[SIAFF2016] 국제단편경쟁 2,,,2016
인디다큐페스티발2016 폐막식,,,2016
2월 수요단편극장 “만점짜리 단편영화 다시보기 - 2015년 수상작 특별전,,,2016
FIWOM2016-종이학/바람이분다/나의기념일/아무일도없었다/아버지의방,,,2016
순수의 시대,20150305,(주)씨제이이엔엠,2016|2017
2016 대단한단편영화제-폐막식+폐막작,,,2016
"판타지, 마술적 순간",,,2016
개가 있던 자리,,,2016
제17회 대구단편영화제 경쟁3,,,2016
FIWOM2016-여름의 끝/전학생/연지/세희,,,2016
된장,20101021,"씨제이엔터테인먼트,GV 엔터테인먼트",2016
설국열차,20130801,(주)씨제이이엔엠,2016|2018|2019|2020|2023|2025
출중한 여자,,,2016
한국 환경영화의 흐름 단편,,,2016
부동산의 발라드 2,,,2016
FIWOM2016-비포앤애프터/설희/미용실/연애경험,,,2016
열일곱살의 버킷 리스트,,,2016|2017
한양기방 명기전,20151230,(주)케이알씨지,2016
제3회 사람사는세상영화제 공모부문3,,,2016
7월 수요단편극장 “연상호 감독 특별전”,,,2016
FIWOM2016-햇살쏟아지던날/달팽이/십분간휴식,,,2016
제3회 사람사는세상영화제 공모부문5,,,2016
써니,20110504,(주)씨제이이엔엠,2016|2017|2022|2023|2025
끝나지 않은 전쟁,,,2016
10월단단한영화展(윤가은 감독전),,,2016|2019
3월 수요단편극장 - 브라운관 속 스타들의 단편영화,,,2016
슬픈 늑대,,,2016
한국다큐쇼케이스 단편,,,2016
피터의 LP투어,,,2016
Media art work screening A,,,2016
제3회 사람사는세상영화제 공모부문1,,,2016
서양 골동 양과자점 앤티크,20081113,"오퍼스픽쳐스(유),(주)쇼박스",2016|2021
청소년 경쟁 2,,,2016
글로컬 구애전 단편 2,,,2016
제8회 대구퀴어영화제 국내단편,,,2016
[SIAFF2016] 국제단편경쟁 3,,,2016
끝나지 않은 사랑의 기적 장기려,,,2016
글로컬 구애전 단편 1,,,2016
간신,20150521,롯데쇼핑㈜롯데엔터테인먼트,2016|2017
제17회 대구단편영화제 경쟁4,,,2016
족보,19790914,,2016|2017|2018|2025
인디스데이 7월 단편,,,2016|2017|2023
Media art work screening 12월,,,2016|2018
유예기간,,,2016
