movie_name,open_date,total_sales_amount,total_audience_count,screen_count_peak,show_count_total,sales_share_peak,rep_nation,nation,distributor_boxoffice,boxoffice_year_count,boxoffice_years,match_key
흑인에게 미친 여친,20230622,6000,1,1,1,0,한국,한국,영드래곤 미디어,1,2023,흑인에게 미친 여친|20230622
첫경험의 추억,20230706,6000,1,1,1,0,한국,한국,주식회사 플릭스코,1,2023,첫경험의 추억|20230706
핫 한 장모님,20231020,6000,1,1,1,0,한국,한국,솔앤드 주식회사,1,2023,핫 한 장모님|20231020
발정난 외로운 사돈과 첫 섹스,20230706,6000,1,1,1,0,한국,한국,와이제이스토리,1,2023,발정난 외로운 사돈과 첫 섹스|20230706
며느리와 시아버지 그리고 사위와 장모,20230713,6000,1,1,1,0,한국,한국,와이제이스토리,1,2023,며느리와 시아버지 그리고 사위와 장모|20230713
죽여주는 거유녀들,20230714,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,죽여주는 거유녀들|20230714
옆집 여자의 사생활,20230714,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,옆집 여자의 사생활|20230714
술 취한 남자에게 넘어간 30대 육덕녀,20230721,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,술 취한 남자에게 넘어간 30대 육덕녀|20230721
대물에 열린 그녀들,20230712,6000,1,1,1,0,한국,한국,와이제이스토리,1,2023,대물에 열린 그녀들|20230712
구멍가게 어떤 구멍이 좋아?,20230825,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,구멍가게 어떤 구멍이 좋아?|20230825
외로운 육덕 거유녀,20230721,6000,1,1,1,0,한국,한국,(주)샤이커뮤니케이션즈,1,2023,외로운 육덕 거유녀|20230721
2대1 변태 단골손님 무삭제,20230819,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,2대1 변태 단골손님 무삭제|20230819
2대1 돌려먹기,20230823,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,2대1 돌려먹기|20230823
자매의젖은성감대,20230113,1000,1,1,1,0,한국,한국,스마일컨텐츠,1,2023,자매의젖은성감대|20230113
메타 섹스,20230112,6000,1,1,1,0,한국,한국,영드래곤 미디어,1,2023,메타 섹스|20230112
MZ세대 섹스다이어리,20230102,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,MZ세대 섹스다이어리|20230102
지아의황홀한섹스-무삭제,20230118,1000,1,1,1,0,한국,한국,스마일컨텐츠,1,2023,지아의황홀한섹스-무삭제|20230118
골프치는 커플들의 연장19홀,20230104,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,골프치는 커플들의 연장19홀|20230104
대박나는 마사지샵의 영업비밀2,20230208,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,대박나는 마사지샵의 영업비밀2|20230208
소녀탈출 무삭제판,20230210,1000,1,1,1,0,한국,한국,엔트리커뮤니케이션즈,1,2023,소녀탈출 무삭제판|20230210
펜트하우스 쇼걸 무삭제판,20230210,1000,1,1,1,0,한국,한국,엔트리커뮤니케이션즈,1,2023,펜트하우스 쇼걸 무삭제판|20230210
슬기로운부부의성생활,20230228,1000,1,1,1,0,한국,한국,스마일컨텐츠,1,2023,슬기로운부부의성생활|20230228
스와핑 : 나쁜처제,20230803,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,스와핑 : 나쁜처제|20230803
교환부부의 세계2 그들만의 은밀한 테크닉,20230222,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,교환부부의 세계2 그들만의 은밀한 테크닉|20230222
나에겐 로맨스,20230309,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,나에겐 로맨스|20230309
그녀의 음란 레슨,20230601,6000,1,1,1,0,한국,한국,(주)가온콘텐츠,1,2023,그녀의 음란 레슨|20230601
기묘한 섹스커플,20230315,6000,1,1,1,0,한국,한국,(주)디에이치미디어,1,2023,기묘한 섹스커플|20230315
유부남 VS 유부녀,20230301,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,유부남 VS 유부녀|20230301
친구에게 빼앗긴 내 애인,20230315,6000,1,1,1,0,한국,한국,주식회사 바나나픽쳐스,1,2023,친구에게 빼앗긴 내 애인|20230315
스와핑 스튜디오,20230303,6000,1,1,1,0,한국,한국,영드래곤 미디어,1,2023,스와핑 스튜디오|20230303
구멍 길들이기,20230629,6000,1,1,1,0,한국,한국,(주)가온콘텐츠,1,2023,구멍 길들이기|20230629
심야의 개인비서,20230406,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,심야의 개인비서|20230406
어린 자매의 맛,20230308,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,어린 자매의 맛|20230308
구멍 길들이기 무삭제판,20230825,6000,1,1,1,0,한국,한국,(주)가온콘텐츠,1,2023,구멍 길들이기 무삭제판|20230825
떡정 길들여진 여자들,20230322,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,떡정 길들여진 여자들|20230322
세자매 노래방,20230315,1000,1,1,1,0,한국,한국,P&미디어,1,2023,세자매 노래방|20230315
대물 남자 도우미,20230314,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,대물 남자 도우미|20230314
MZ세대 스와핑,20230321,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,MZ세대 스와핑|20230321
쓰리썸 ： 내 아내의 친구,20230715,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,쓰리썸 : 내 아내의 친구|20230715
