"영화코드","영화명","개봉일","장르","관람등급","감독","제작사","배급사","국적"
"20145506","해어화","20160413","사극|드라마","15세이상관람가","박흥식","더램프(주)","롯데쇼핑㈜롯데엔터테인먼트","한국"
"20068576","그날의 분위기","20160114","멜로/로맨스","15세이상관람가","조규장","주식회사 엔진필름","(주)쇼박스","한국"
"20159627","사돈의 팔촌","20160512","멜로/로맨스|드라마","15세이상관람가","장현상","피도 안마른 녀석들","서울독립영화제","한국"
"20153863","그빨로","20160603","스릴러","청소년관람불가","권만회","야그프로덕션","THE 픽쳐스","한국"
"20164641","감출 수 없는 본능-몰카","20160609","드라마|멜로/로맨스|스릴러","청소년관람불가","김병관","(주)큰손엔터테인먼트","모비딕엔터테인먼트(주)","한국"
"20158744","짐작보다 따뜻하게","20160519","드라마","12세이상관람가","이상민","아베크엠 엔터테인먼트","(주)맑은시네마","한국"
"20151021","순정","20160224","드라마","12세이상관람가","이은희","(주)주피터필름","(주)리틀빅픽쳐스","한국"
"20163821","완전한 사육 : 소원을 말해봐","20160601","멜로/로맨스","청소년관람불가","박범수","(주)케이알씨지","(주)케이알씨지","한국"
"20163216","형님 아내","20160503","멜로/로맨스","청소년관람불가","이돌","이돌영화사","이돌영화사","한국"
"20164302","레드: 위험한 유혹","20160602","드라마","청소년관람불가","장정관","주식회사 이엔터","(주)대양미디어","한국"
"20163444","맛있는 영화","20160525","멜로/로맨스","청소년관람불가","박범수","(주)케이알씨지","(주)케이알씨지","한국"
"20162461","다이노X 탐험대","20160504","애니메이션|다큐멘터리","전체관람가","이동희","(주)MBC","(주)이수C&E","한국"
"20159447","레나","20160526","멜로/로맨스|드라마","12세이상관람가","김도원","(주)씨네코뮨","(주)모멘텀엔터테인먼트","한국"
"20163191","란제리 사나이","20160512","드라마","청소년관람불가","최석원","(주)씨맥스커뮤니케이션즈","(주)레드언더미디어","한국"
"20158483","오빠생각","20160121","드라마|전쟁","12세이상관람가","이한","(주)조이래빗","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20163443","옆집 누나","20160512","멜로/로맨스","청소년관람불가","이민환","(주)케이알씨지","(주)케이알씨지","한국"
"20163669","탐욕","20160512","멜로/로맨스","청소년관람불가","김정욱","주식회사 루믹스미디어","주식회사 루믹스미디어","한국"
"20163721","탐정사무소 - 사랑과 전쟁","20160513","스릴러|드라마","청소년관람불가","이동현","(주)매니아22 ","(주)나우콘텐츠","한국"
"20153803","배짱이들","20160512","다큐멘터리","12세이상관람가","정훈","뉴에이지필름","주식회사 씨엠닉스","한국"
"20161783","아빠가 돌아왔다","20160519","가족|드라마","15세이상관람가","윤여창","굿픽처스","(유)조이앤시네마","한국"
"20163350","남녀의 궁합","20160519","멜로/로맨스","청소년관람불가","채길병","(주)영화사 사계절","(주)영화사 사계절","한국"
"20162684","탐욕의 별","20160427","다큐멘터리","15세이상관람가","공귀현","스파이럴 프로젝트","㈜인디스토리","한국"
"20158743","눈이라도 내렸으면","20160512","드라마","15세이상관람가","장희철","야간비행","야간비행","한국"
"20162704","극장판 안녕 자두야","20160504","애니메이션","전체관람가","손석우","아툰즈|(주)씨제이이엔엠","(주)씨제이이엔엠","한국"
"20163401","불의 날, 생명을 말하다","20160428","다큐멘터리","전체관람가","전화성","한국YWCA연합회|크리에이티브컴즈(주)","크리에이티브컴즈(주)","한국"
"20152402","업사이드 다운","20160414","다큐멘터리","12세이상관람가","김동빈","프로젝트 투게더","(주)시네마달","한국"
"20163199","엔조이닷컴","20160428","멜로/로맨스|드라마","청소년관람불가","백수호","영화사청춘 주식회사","(주)라이크콘텐츠","한국"
"20163305","젊은 엄마 4","20160428","멜로/로맨스","청소년관람불가","김효재","골든타이드픽처스(주)","골든타이드픽처스(주)","한국"
"20163319","맛있는 떡","20160427","멜로/로맨스","청소년관람불가","이승환","(주)케이알씨지","(주)케이알씨지","한국"
"20163152","우리 지금 할래","20160420","멜로/로맨스","청소년관람불가","박범수","(주)케이알씨지","(주)케이알씨지","한국"
"20162662","동거의 목적","20160331","멜로/로맨스","청소년관람불가","조성우","(주)씨네토리","(주)제이에이와이이엔터테인먼트","한국"
"20149496","일어서는 인간","20160327","드라마","12세이상관람가","김미영","보리와 오디 영화사","보리와 오디 영화사","한국"
"20161979","썰만화","20160225","코미디|드라마|멜로/로맨스","청소년관람불가","안일환","(주)골든몽키스미디어그룹","TCO(주)더콘텐츠온","한국"
"20162521","캘린더걸","20160407","멜로/로맨스","청소년관람불가","강현철","스마일컨텐츠","(주)유비네트워크","한국"
"20144441","섬. 사라진 사람들","20160303","스릴러","15세이상관람가","이지승","시네마팩토리","(주)콘텐츠판다","한국"
"20162701","입영전야","20160405","멜로/로맨스|코미디","청소년관람불가","유승택","영화사 인연","(주)소나무픽쳐스","한국"
"20156188","블랙스톤","20160328","드라마","청소년관람불가","노경태","테디베어필름","테디베어필름","한국|프랑스"
"20158745","고백할 수 없는","20160331","스릴러","청소년관람불가","최인규","더파인트","하준사","한국"
"20161521","라면 먹고 갈래?","20160317","멜로/로맨스","청소년관람불가","강백호","주식회사 이엔터","주식회사 이엔터","한국"
